time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,001727;-0,2805;-0,1108;-0,5968;0,669
0,002252;-0,3962;0,0307;-0,6728;0,781
0,006472;-0,4259;0,0288;-0,7113;0,830
0,022204;-0,4410;-0,0343;-0,6844;0,815
0,022614;-0,4318;-0,1011;-0,6592;0,795
0,022772;-0,4076;-0,1762;-0,6550;0,791
0,032609;-0,3448;-0,1930;-0,6149;0,731
0,032983;-0,2530;-0,1851;-0,6105;0,686
0,045588;-0,1563;-0,1955;-0,6035;0,653
0,046039;-0,0306;-0,2051;-0,5745;0,611
0,049519;0,0004;-0,1809;-0,5801;0,608
0,052068;-0,0152;-0,1281;-0,5578;0,573
0,058332;0,0175;-0,0755;-0,4931;0,499
0,062047;0,0122;-0,0567;-0,4335;0,437
0,069224;-0,0073;-0,0714;-0,3738;0,381
0,072464;-0,0367;-0,1006;-0,2851;0,305
0,080032;-0,0525;-0,0920;-0,2484;0,270
0,082719;-0,0977;-0,0602;-0,2679;0,291
0,090690;-0,1536;0,0088;-0,3005;0,338
0,092159;-0,2724;0,1196;-0,3844;0,486
0,097321;-0,3829;0,2433;-0,5004;0,675
0,105022;-0,4803;0,3419;-0,5820;0,828
0,107118;-0,5266;0,3586;-0,6011;0,876
0,113381;-0,5695;0,3847;-0,5491;0,880
0,117241;-0,5849;0,4295;-0,4411;0,849
0,124453;-0,5111;0,4123;-0,3254;0,733
0,127829;-0,3769;0,3290;-0,2968;0,582
0,135823;-0,2013;0,2274;-0,2735;0,409
0,138320;-0,0126;0,1363;-0,2411;0,277
0,145739;0,1898;0,1078;-0,1564;0,269
0,148162;0,3348;0,0985;-0,0864;0,360
0,152736;0,4661;0,0752;-0,0688;0,477
0,158384;0,5791;0,0380;-0,0511;0,583
0,162989;0,6503;-0,0178;-0,1093;0,660
0,168876;0,6658;-0,0398;-0,2425;0,710
0,173002;0,6500;-0,0616;-0,3265;0,730
0,179789;0,6364;-0,0737;-0,3188;0,716
0,183407;0,5631;-0,0763;-0,3198;0,652
0,191279;0,4303;-0,0600;-0,3388;0,551
0,192965;0,2428;-0,0392;-0,3711;0,445
0,204296;0,0434;-0,0093;-0,3644;0,367
0,204823;-0,1824;0,0250;-0,2288;0,294
0,208203;-0,3591;0,0871;-0,0318;0,371
0,215449;-0,4971;0,1390;0,1169;0,529
0,218599;-0,6160;0,1995;0,1701;0,669
0,226114;-0,7209;0,2545;0,1331;0,776
0,228306;-0,7835;0,2756;0,0491;0,832
0,235609;-0,7615;0,2251;-0,0626;0,797
0,239116;-0,6695;0,1560;-0,1832;0,711
0,247074;-0,5363;0,0971;-0,3175;0,631
0,248150;-0,4096;0,0577;-0,4607;0,619
0,258474;-0,2936;0,0378;-0,4751;0,560
0,259017;-0,2024;0,0705;-0,3286;0,392
0,263564;-0,1403;0,1033;-0,1272;0,216
