time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,006056;-0,2137;-0,0468;0,6116;0,650
0,006722;-0,2469;0,0030;0,7165;0,758
0,007146;-0,2339;0,0313;0,7400;0,777
0,007557;-0,1992;0,0476;0,6874;0,717
0,017442;-0,1480;0,0520;0,5925;0,613
0,018101;-0,0847;0,0540;0,4794;0,490
0,024727;-0,0234;0,0395;0,4243;0,427
0,027983;0,0507;0,0327;0,3934;0,398
0,038071;0,1234;0,0386;0,3676;0,390
0,038777;0,1666;0,0573;0,3610;0,402
0,043028;0,2044;0,0652;0,3450;0,406
0,049061;0,2231;0,0866;0,3148;0,395
0,054555;0,2280;0,1215;0,3277;0,417
0,058071;0,2289;0,1606;0,3452;0,444
0,063413;0,2120;0,1848;0,3150;0,422
0,068252;0,1681;0,2039;0,2468;0,362
0,073253;0,1214;0,1988;0,1932;0,303
0,078799;0,0625;0,1793;0,1969;0,274
0,083788;0,0391;0,1504;0,1766;0,235
0,088180;0,0125;0,1027;0,1564;0,188
0,093916;-0,0125;0,0602;0,1315;0,145
0,099237;-0,0270;0,0374;0,0924;0,103
0,103519;-0,0313;0,0200;0,0583;0,069
0,110411;-0,0639;0,0271;0,0291;0,075
0,114005;-0,0820;0,0300;0,0002;0,087
0,123939;-0,1094;0,0097;-0,0334;0,115
0,124524;-0,1272;0,0091;-0,0478;0,136
0,128954;-0,1354;-0,0052;-0,0239;0,138
0,134137;-0,1534;-0,0141;0,0331;0,158
0,139605;-0,1432;-0,0177;0,0899;0,170
0,146055;-0,1289;-0,0399;0,0797;0,157
0,149263;-0,1013;-0,0711;0,0316;0,128
0,157805;-0,0649;-0,0779;-0,0400;0,109
0,159644;-0,0339;-0,0795;-0,1065;0,137
0,166633;-0,0126;-0,0852;-0,1246;0,151
0,169472;0,0085;-0,0431;-0,1093;0,118
0,174168;0,0298;-0,0058;-0,1037;0,108
0,179587;0,0417;0,0172;-0,0649;0,079
0,184705;0,0534;0,0308;-0,0644;0,089
0,189410;0,0793;0,0349;-0,0496;0,100
0,194983;0,1047;0,0155;-0,0493;0,117
0,199398;0,1059;0,0248;-0,0726;0,131
0,205245;0,0879;0,0388;-0,0720;0,120
0,212696;0,0794;0,0194;-0,0619;0,103
0,214600;0,0852;-0,0047;-0,0661;0,108
0,221745;0,1003;-0,0334;-0,0703;0,127
0,224618;0,0917;-0,0574;-0,0792;0,134
0,229935;0,0546;-0,0720;-0,0689;0,114
0,234550;0,0177;-0,0867;-0,0351;0,095
0,240186;0,0141;-0,1159;-0,0109;0,117
0,244938;-0,0136;-0,1356;-0,0059;0,136
0,250341;-0,0322;-0,1508;-0,0247;0,156
0,255527;-0,0510;-0,1521;-0,0385;0,165
0,261044;-0,0417;-0,1632;-0,0331;0,172
0,266317;-0,0518;-0,1508;-0,0135;0,160
0,269936;-0,0148;-0,1484;0,0203;0,150
0,277569;0,0359;-0,1414;0,0111;0,146
0,280424;0,0812;-0,1204;-0,0360;0,150
0,285408;0,1021;-0,0901;-0,0875;0,162
0,290044;0,1134;-0,0457;-0,0958;0,155
0,295610;0,1151;-0,0253;-0,0992;0,154
0,300009;0,1217;-0,0142;-0,1074;0,163
0,305795;0,1236;0,0113;-0,0918;0,154
0,313743;0,1205;0,0085;-0,0763;0,143
0,315421;0,1222;-0,0082;-0,0610;0,137
0,322038;0,1428;-0,0292;-0,0695;0,161
0,325420;0,1726;-0,0639;-0,1017;0,210
0,330379;0,1787;-0,0884;-0,1337;0,240
0,335393;0,1897;-0,1121;-0,1607;0,273
0,340880;0,1726;-0,1160;-0,1922;0,283
0,346103;0,1467;-0,1145;-0,1856;0,263
0,351209;0,1217;-0,1029;-0,1792;0,240
0,355765;0,0831;-0,0813;-0,1633;0,200
0,361305;0,0642;-0,0640;-0,1667;0,190
0,366689;0,0314;-0,0463;-0,1748;0,184
0,370782;0,0084;-0,0520;-0,2066;0,213
0,377509;0,0046;-0,0429;-0,2049;0,209
0,381064;0,0101;-0,0288;-0,1985;0,201
0,386180;0,0057;-0,0381;-0,1399;0,145
0,390698;0,0151;-0,0328;-0,0865;0,094
