time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,004115;-0,1407;0,0759;0,3805;0,413
0,004688;-0,1022;0,0144;0,2961;0,314
0,007245;-0,0682;-0,0144;0,2270;0,237
0,013187;-0,0291;-0,0441;0,1969;0,204
0,017324;-0,0084;-0,0318;0,1342;0,138
0,022256;0,0035;0,0031;0,0771;0,077
0,027492;0,0020;0,0654;0,0445;0,079
0,032982;-0,0083;0,1217;0,0600;0,136
0,038102;-0,0135;0,1676;0,1753;0,243
0,043776;0,0003;0,2365;0,2375;0,335
0,047725;0,0088;0,2761;0,2090;0,346
0,055026;-0,0212;0,2916;0,1332;0,321
0,057891;-0,0226;0,2691;0,0818;0,282
0,063332;-0,0525;0,2137;0,0783;0,234
0,067769;-0,0916;0,1496;0,0557;0,184
0,073126;-0,1206;0,0815;0,0332;0,149
0,077909;-0,1682;0,0476;0,0155;0,175
0,082848;-0,2293;0,0381;0,0595;0,240
0,088975;-0,2709;0,0289;0,0605;0,279
0,093936;-0,2930;0,0341;0,0803;0,306
0,100253;-0,3054;0,0535;0,1143;0,330
0,103132;-0,3036;0,0534;0,1766;0,355
0,108513;-0,2879;0,0576;0,2100;0,361
0,113163;-0,2775;0,0422;0,2006;0,345
0,118460;-0,2582;0,0073;0,1772;0,313
0,123110;-0,2348;0,0099;0,1685;0,289
0,128202;-0,2215;0,0023;0,1649;0,276
0,136351;-0,2040;0,0131;0,1330;0,244
0,138429;-0,2202;0,0374;0,1016;0,245
0,145217;-0,2173;0,0469;0,0849;0,238
0,148923;-0,2384;0,0464;0,0590;0,250
0,155326;-0,2500;0,0266;0,0239;0,253
0,158571;-0,2759;0,0021;-0,0014;0,276
0,163708;-0,2827;-0,0082;0,0211;0,284
0,168364;-0,2803;-0,0138;0,0293;0,282
0,174471;-0,2829;-0,0148;0,0137;0,284
0,179197;-0,2760;-0,0257;0,0079;0,277
0,183938;-0,2548;-0,0225;0,0070;0,256
0,189049;-0,2432;-0,0292;0,0110;0,245
0,195253;-0,2221;-0,0410;-0,0038;0,226
0,200377;-0,1915;-0,0530;-0,0469;0,204
0,203718;-0,1895;-0,0748;-0,0800;0,219
0,209010;-0,2159;-0,0823;-0,1127;0,257
0,214016;-0,2469;-0,0896;-0,1356;0,296
0,219120;-0,2779;-0,0967;-0,1726;0,341
0,224115;-0,3135;-0,1035;-0,1952;0,384
0,228931;-0,3206;-0,1050;-0,2035;0,394
0,236116;-0,3517;-0,1060;-0,2024;0,419
0,239496;-0,3449;-0,1065;-0,2063;0,416
0,246916;-0,3384;-0,1064;-0,2104;0,412
0,250191;-0,3129;-0,1108;-0,2335;0,406
0,256864;-0,2877;-0,0958;-0,2613;0,400
0,259640;-0,2624;-0,0998;-0,2888;0,403
0,264655;-0,2322;-0,0942;-0,3114;0,400
0,269194;-0,2018;-0,0791;-0,3338;0,398
0,274643;-0,1808;-0,0689;-0,3133;0,368
0,279439;-0,1882;-0,0635;-0,2739;0,338
0,284488;-0,1858;-0,0293;-0,2539;0,316
0,289400;-0,1835;-0,0140;-0,2580;0,317
