time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,001032;0,0297;-0,0304;-0,3829;0,385
0,007374;-0,0285;-0,0211;-0,4435;0,445
0,008045;-0,1145;-0,0117;-0,4520;0,466
0,017762;-0,1951;0,0168;-0,4185;0,462
0,018437;-0,2658;0,0453;-0,3338;0,429
0,025023;-0,3272;0,0784;-0,2461;0,417
0,026832;-0,3652;0,0687;-0,1933;0,419
0,034965;-0,3661;0,0450;-0,1465;0,397
0,037311;-0,3348;0,0215;-0,1150;0,355
0,047509;-0,2952;0,0031;-0,0510;0,300
0,048124;-0,2187;-0,0199;0,0216;0,221
0,052739;-0,1435;-0,0521;0,0837;0,174
0,058948;-0,0741;-0,1079;0,1072;0,169
0,062771;0,0089;-0,1536;0,1448;0,211
0,069876;0,0772;-0,1706;0,1776;0,258
0,073011;0,1263;-0,1590;0,2012;0,286
0,081066;0,1185;-0,1429;0,2014;0,274
0,083241;0,1113;-0,1175;0,2072;0,263
0,092010;0,0714;-0,0926;0,2186;0,248
0,093364;0,0416;-0,0823;0,2402;0,257
0,103550;0,0074;-0,0770;0,2150;0,228
0,104136;-0,0123;-0,0530;0,1671;0,176
0,107894;-0,0320;-0,0246;0,1110;0,118
0,119605;-0,0564;-0,0205;0,0656;0,089
0,120295;-0,0856;-0,0070;0,0024;0,086
0,129209;-0,0958;0,0252;-0,0836;0,130
0,129793;-0,0729;0,0666;-0,2066;0,229
0,138389;-0,0075;0,0792;-0,3477;0,357
0,138965;0,0479;0,0775;-0,4785;0,487
0,148138;0,0982;0,1093;-0,5521;0,571
0,148800;0,1293;0,1410;-0,5927;0,623
0,159262;0,1366;0,1585;-0,6103;0,645
0,159842;0,1631;0,0289;-0,6480;0,669
0,163410;0,1472;0,0574;-0,5442;0,567
0,169899;0,1032;0,1192;-0,4043;0,434
0,174305;0,0597;0,1380;-0,2619;0,302
0,181300;-0,0120;0,1189;-0,1834;0,219
0,184121;-0,0074;0,0621;-0,1206;0,136
0,192281;0,0350;-0,0084;-0,0682;0,077
0,193588;0,0294;-0,0450;-0,0165;0,056
0,203686;0,0192;-0,0385;0,0681;0,081
0,204365;0,0470;-0,0180;0,1427;0,151
0,217349;0,0984;-0,0213;0,1694;0,197
0,217955;0,1447;-0,0580;0,1534;0,219
0,218751;0,1911;-0,0896;0,1331;0,249
0,225658;0,2233;-0,1068;0,1370;0,283
0,229142;0,2036;-0,1096;0,1556;0,279
0,236897;0,1515;-0,1125;0,1507;0,241
0,239116;0,0814;-0,1012;0,1417;0,192
0,247846;0,0266;-0,0949;0,1287;0,162
0,249237;-0,0273;-0,0983;0,1162;0,155
0,259265;-0,1092;-0,0922;0,0950;0,172
0,259870;-0,1856;-0,0911;0,0649;0,217
0,270166;-0,2236;-0,0901;0,0117;0,241
0,270773;-0,2616;-0,0796;-0,0692;0,282
0,274601;-0,2852;-0,0741;-0,1445;0,328
0,280907;-0,3139;-0,0734;-0,2096;0,384
0,285764;-0,2762;-0,1581;-0,2696;0,417
0,292207;-0,2107;-0,1994;-0,3438;0,450
0,294534;-0,2364;-0,1974;-0,3894;0,496
0,304419;-0,1101;-0,2713;-0,3546;0,460
0,305231;-0,1844;-0,1497;-0,3779;0,446
0,318135;-0,1915;-0,1856;-0,4017;0,482
0,318775;-0,2124;0,0116;-0,2311;0,314
0,325509;-0,3185;0,3164;-0,0098;0,449
0,326144;-0,4005;0,5189;0,1809;0,680
0,330562;-0,4258;0,5441;0,1991;0,719
0,336932;-0,2765;0,3742;0,1079;0,478
0,339696;-0,0488;0,0869;-0,0013;0,100
0,348102;0,1196;-0,1220;-0,1046;0,200
0,349755;0,1820;-0,2106;-0,1214;0,304
0,359382;0,1826;-0,1749;-0,0905;0,269
