time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,002531;0,3662;0,1589;-0,5242;0,659
0,003153;0,2118;0,1363;-0,5710;0,624
0,007335;0,0867;0,1100;-0,5560;0,573
0,017478;-0,0009;0,0564;-0,5227;0,526
0,018097;-0,0852;0,0375;-0,4856;0,494
0,025336;-0,1620;0,0390;-0,3546;0,392
0,026916;-0,1940;0,0561;-0,1875;0,276
0,032030;-0,2245;0,0838;-0,1461;0,281
0,037443;-0,2393;0,1171;-0,1676;0,315
0,042731;-0,2094;0,1227;-0,1562;0,289
0,047600;-0,1536;0,1291;-0,1453;0,248
0,052656;-0,0807;0,1077;-0,1444;0,197
0,058173;0,0051;0,0678;-0,1105;0,130
0,062832;0,0998;0,0144;-0,0769;0,127
0,069551;0,1799;-0,0337;-0,0673;0,195
0,072744;0,2176;-0,0812;-0,0483;0,237
0,081059;0,3085;-0,0758;0,0418;0,320
0,082981;0,3189;-0,0134;0,0600;0,325
0,087715;0,2923;0,0344;-0,0359;0,297
0,093210;0,2720;0,0675;-0,1404;0,313
0,097827;0,2678;0,0814;-0,2202;0,356
0,104224;0,2371;0,0856;-0,2708;0,370
0,108057;0,2278;0,0517;-0,1973;0,306
0,115363;0,1826;0,0608;-0,1101;0,222
0,118131;-0,0314;0,1503;-0,1802;0,237
0,125274;-0,0187;0,0867;0,0545;0,104
0,128195;-0,0385;-0,0148;0,2446;0,248
0,133412;-0,0913;-0,0876;0,2911;0,317
0,138646;-0,1393;-0,1415;0,3518;0,404
0,143347;-0,1734;-0,0535;0,4124;0,451
0,148529;-0,2890;0,0848;0,4731;0,561
0,153616;-0,4856;0,0259;0,3106;0,577
0,159642;-0,4768;-0,0671;0,2167;0,528
0,163623;-0,3733;-0,1086;0,2145;0,444
0,170979;-0,3086;-0,1844;0,2034;0,413
0,173454;-0,2398;-0,2512;0,1502;0,378
0,181802;-0,1952;-0,2613;0,0504;0,330
0,183892;-0,1885;-0,2150;-0,0293;0,287
0,188480;-0,1719;-0,1692;-0,0275;0,243
0,193869;-0,2075;-0,0857;-0,0352;0,227
0,198719;-0,3329;0,0589;-0,1047;0,354
0,203903;-0,3858;0,1267;-0,1215;0,424
0,208750;-0,3289;0,1136;-0,0481;0,351
0,216025;-0,3533;0,1344;0,0054;0,378
0,219108;-0,3778;0,1935;0,0250;0,425
0,226425;-0,3692;0,2099;0,0585;0,429
0,229245;-0,3659;0,2266;0,1437;0,454
0,237213;-0,3966;0,2908;0,1949;0,529
0,239192;-0,4801;0,3402;0,1507;0,607
0,244429;-0,5161;0,3320;0,0642;0,617
0,249442;-0,4713;0,2952;0,0118;0,556
0,254531;-0,3841;0,1967;-0,0448;0,434
0,259858;-0,2926;0,0846;-0,1150;0,326
0,264390;-0,2204;0,0112;-0,1750;0,282
0,270864;-0,1197;-0,0710;-0,2014;0,245
0,274470;-0,0523;-0,1240;-0,2560;0,289
0,282073;0,0580;-0,1953;-0,3150;0,375
0,284678;0,1826;-0,2656;-0,2930;0,436
0,293035;0,2403;-0,3062;-0,2240;0,449
0,294670;0,2598;-0,3079;-0,1036;0,416
0,299334;0,2555;-0,3043;-0,0034;0,397
0,304560;0,2080;-0,2911;0,0769;0,366
0,309504;0,1272;-0,2448;0,1613;0,320
0,315637;0,0322;-0,2088;0,2072;0,296
0,319728;-0,0436;-0,1691;0,3006;0,348
0,326220;-0,0671;-0,1356;0,4080;0,435
0,329828;-0,0772;-0,0991;0,4867;0,503
0,337207;-0,1071;-0,0217;0,4943;0,506
0,339814;-0,1187;0,0723;0,5406;0,558
0,347994;-0,1359;0,1304;0,5353;0,567
0,350050;-0,1773;0,1958;0,4358;0,510
0,354847;-0,1571;0,2161;0,3429;0,435
0,359898;-0,0658;0,1492;0,2705;0,316
0,365097;0,0581;0,0434;0,1282;0,147
0,370862;0,2196;-0,0815;-0,0030;0,234
0,375005;0,3472;-0,2155;-0,1516;0,436
0,382254;0,4276;-0,2965;-0,3131;0,607
0,385759;0,4944;-0,3672;-0,4210;0,746
0,393122;0,5340;-0,3942;-0,5235;0,845
0,395232;0,5088;-0,3872;-0,6350;0,901
0,404377;0,4624;-0,3508;-0,7175;0,923
0,405447;0,3857;-0,2711;-0,7429;0,880
0,410327;0,2886;-0,1626;-0,7544;0,824
0,416003;0,1713;-0,0397;-0,7094;0,731
0,420498;0,0908;0,0736;-0,6225;0,633
0,426638;0,0415;0,1774;-0,5085;0,540
0,430548;0,0277;0,2289;-0,3720;0,438
0,437644;0,0010;0,2333;-0,2894;0,372
0,440372;-0,0342;0,2054;-0,2316;0,311
0,448544;-0,0643;0,1786;-0,2175;0,289
0,450711;-0,1135;0,1532;-0,2611;0,323
0,455759;-0,1535;0,1294;-0,3239;0,381
0,460864;-0,1846;0,1121;-0,3490;0,410
0,466009;-0,1833;0,0871;-0,3272;0,385
0,471569;-0,1975;0,0737;-0,3112;0,376
0,475699;-0,2128;0,0574;-0,3010;0,373
0,482284;-0,2242;0,0287;-0,2774;0,358
0,486226;-0,2080;0,0161;-0,1741;0,272
0,493297;-0,2022;0,0239;-0,0865;0,221
0,495927;-0,2021;0,0278;-0,0191;0,205
0,504448;-0,2027;0,0323;0,0142;0,206
0,506387;-0,1801;0,0324;0,0329;0,186
0,510779;-0,1486;0,0231;0,0371;0,155
0,516405;-0,1079;0,0091;0,0508;0,120
0,521105;-0,0819;-0,0049;0,0740;0,110
0,526756;-0,0607;-0,0239;0,0829;0,105
0,531095;-0,0395;-0,0334;0,0966;0,110
0,537198;-0,0373;-0,0337;0,1151;0,126
0,540776;-0,0541;-0,0153;0,1337;0,145
0,547802;-0,0470;0,0025;0,1380;0,146
0,550787;-0,0255;0,0056;0,1377;0,140
0,559089;-0,0230;-0,0110;0,1093;0,112
0,561313;-0,0107;-0,0090;0,1478;0,148
0,566982;0,0066;-0,0266;0,1721;0,174
0,571197;0,0145;-0,0020;0,2012;0,202
0,576575;0,0272;0,0075;0,2305;0,232
0,582093;0,0258;0,0303;0,2219;0,225
0,586763;0,0008;0,0426;0,1900;0,195
0,593250;-0,0190;0,0492;0,1303;0,141
0,596464;-0,0289;0,0407;0,0715;0,087
0,604666;-0,0384;0,0314;0,0278;0,057
0,607279;-0,0236;0,0214;0,0087;0,033
0,616761;-0,0040;0,0202;-0,0337;0,040
0,617342;-0,0129;0,0517;-0,0802;0,096
0,621651;-0,0265;0,0730;-0,1261;0,148
0,627472;-0,0304;0,0842;-0,2047;0,223
0,632035;-0,0202;0,0855;-0,2539;0,269
0,638352;-0,0290;0,1103;-0,2932;0,315
0,642235;-0,0333;0,1255;-0,3084;0,335
0,649103;-0,0426;0,1595;-0,3519;0,389
0,652605;-0,0712;0,1791;-0,3904;0,435
0,660751;-0,0953;0,1845;-0,4429;0,489
0,662404;-0,0818;0,1807;-0,4618;0,503
0,671472;-0,0593;0,1582;-0,4713;0,501
0,672455;-0,0328;0,1459;-0,4667;0,490
0,677215;-0,0118;0,1344;-0,4386;0,459
0,683009;-0,0061;0,1522;-0,4065;0,434
0,687220;-0,0347;0,1659;-0,3702;0,407
0,693762;-0,0404;0,1709;-0,3537;0,395
0,697402;-0,0472;0,1816;-0,3187;0,370
0,704832;-0,0456;0,1836;-0,2751;0,334
0,707297;-0,0306;0,1723;-0,1990;0,265
0,717037;-0,0072;0,1716;-0,0670;0,184
0,717838;0,0104;0,1764;0,0493;0,183
0,722589;0,0034;0,1534;0,1026;0,185
0,727812;-0,0040;0,1405;0,1551;0,209
0,732865;0,0168;0,1043;0,1692;0,199
0,738454;0,0614;0,0591;0,1736;0,193
0,742683;0,0920;0,0094;0,1685;0,192
0,749916;0,1138;-0,0306;0,1397;0,183
0,753036;0,1176;-0,0658;0,1399;0,194
0,761072;0,0991;-0,0726;0,1544;0,197
0,763207;0,0724;-0,0608;0,2023;0,223
0,772027;0,0281;-0,0449;0,2406;0,246
0,772980;-0,0149;-0,0297;0,2313;0,234
0,777902;-0,0615;-0,0391;0,2224;0,234
0,783213;-0,0788;-0,0113;0,2045;0,219
0,788089;-0,0861;-0,0130;0,1586;0,181
