time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,002476;0,0840;-0,0143;0,1404;0,164
0,003298;0,1199;-0,0192;0,1352;0,182
0,014073;0,1415;-0,0337;0,0974;0,175
0,014858;0,1345;-0,0103;0,0507;0,144
0,015197;0,1376;0,0226;-0,0052;0,139
0,024374;0,1126;0,0837;-0,0230;0,142
0,025260;0,1075;0,1209;-0,0222;0,163
0,030438;0,0886;0,1531;-0,0174;0,178
0,036035;0,0608;0,1521;-0,0227;0,165
0,042310;0,0383;0,1466;-0,0333;0,155
0,045516;0,0446;0,1222;-0,0158;0,131
0,051907;0,0369;0,0934;-0,0130;0,101
0,055862;0,0484;0,0696;-0,0056;0,085
0,061643;0,0315;0,0460;0,0160;0,058
0,066053;0,0244;0,0417;0,0089;0,049
0,073159;0,0032;0,0278;0,0115;0,030
0,076131;-0,0413;0,0044;0,0049;0,042
0,080559;-0,0711;0,0002;-0,0108;0,072
0,086170;-0,0910;-0,0185;0,0074;0,093
0,091131;-0,1249;0,0009;-0,0027;0,125
0,096246;-0,1539;-0,0132;-0,0123;0,155
0,100985;-0,2021;-0,0226;-0,0118;0,204
0,106436;-0,2312;-0,0226;-0,0158;0,233
0,110770;-0,2225;-0,0227;0,0092;0,224
0,117596;-0,2382;-0,0324;0,0247;0,242
0,121317;-0,2353;-0,0517;-0,0022;0,241
0,128541;-0,2093;-0,0709;-0,0334;0,223
0,131081;-0,1458;-0,0615;-0,0260;0,160
0,136145;-0,0973;-0,0618;-0,0234;0,118
0,142394;-0,0587;-0,0621;-0,0397;0,094
0,146314;-0,0348;-0,0576;-0,0463;0,082
0,153058;-0,0207;-0,0532;-0,0528;0,078
0,156666;-0,0210;-0,0299;-0,0781;0,086
0,162418;-0,0261;-0,0116;-0,0841;0,089
0,166353;-0,0265;-0,0077;-0,0852;0,090
0,173104;-0,0269;-0,0086;-0,0861;0,091
0,176975;-0,0367;-0,0096;-0,0678;0,078
0,181354;-0,0606;-0,0343;-0,0685;0,098
0,186607;-0,0510;-0,0209;-0,0597;0,081
0,191975;-0,0510;0,0066;-0,0746;0,091
0,196488;-0,0320;0,0387;-0,1036;0,115
0,201468;-0,0227;0,0514;-0,1465;0,157
0,206427;-0,0042;0,0641;-0,1606;0,173
0,211704;0,0046;0,0625;-0,1986;0,208
0,217909;0,0085;0,0657;-0,2175;0,227
0,221828;0,0074;0,0737;-0,2603;0,271
0,228925;0,0110;0,0486;-0,2937;0,298
0,231902;0,0287;0,0286;-0,3227;0,325
0,236868;0,0369;0,0279;-0,3329;0,336
0,242821;0,0640;0,0322;-0,3201;0,328
0,248022;0,0768;0,0462;-0,2653;0,280
0,252050;0,0801;0,0461;-0,2164;0,235
0,257638;0,0691;0,0366;-0,1779;0,194
0,262335;0,0677;0,0225;-0,1449;0,161
0,267371;0,0806;0,0134;-0,1172;0,143
0,273524;0,0936;0,0093;-0,0900;0,130
0,277471;0,1211;0,0005;-0,0728;0,141
0,284577;0,1583;-0,0130;-0,0512;0,167
0,287649;0,1622;-0,0072;-0,0251;0,164
0,292073;0,1571;-0,0157;0,0102;0,158
0,297534;0,1287;-0,0337;0,0262;0,136
0,302419;0,0963;-0,0467;0,0232;0,110
0,313717;0,0551;-0,0692;0,0441;0,099
0,314272;0,0052;-0,0631;0,0603;0,087
0,317825;-0,0299;-0,0428;0,0718;0,089
0,322982;-0,0788;-0,0132;0,0928;0,122
0,329554;-0,1084;-0,0076;0,0948;0,144
0,332896;-0,1238;0,0026;0,0874;0,152
0,342693;-0,1251;-0,0064;0,0804;0,149
0,343182;-0,1077;-0,0154;0,0880;0,140
0,348344;-0,0861;-0,0292;0,0770;0,119
0,352633;-0,0650;-0,0241;0,0807;0,106
0,358097;-0,0445;-0,0002;0,0897;0,100
0,363144;-0,0197;-0,0003;0,0705;0,073
0,373289;0,0189;0,0089;0,0375;0,043
0,373592;0,0427;0,0132;0,0147;0,047
0,378566;0,0708;0,0317;-0,0269;0,082
0,384491;0,1034;0,0690;-0,0490;0,134
0,388328;0,1120;0,0680;-0,0568;0,143
0,395706;0,0970;0,0671;-0,0837;0,145
0,398292;0,0586;0,0520;-0,0774;0,110
0,406578;0,0493;0,0515;-0,0526;0,089
0,408418;0,0737;0,0654;-0,0143;0,100
0,413095;0,1222;0,1031;0,0137;0,160
0,418039;0,1613;0,1074;0,0550;0,201
0,423074;0,1768;0,0929;0,1001;0,223
0,429015;0,1406;0,0788;0,1111;0,196
0,433155;0,1050;0,0363;0,1550;0,191
0,440416;0,0608;0,0180;0,1938;0,204
0,443382;0,0316;0,0187;0,2039;0,207
0,448255;0,0314;0,0289;0,2046;0,209
0,453415;0,0172;0,0295;0,2103;0,213
0,458705;-0,0112;0,0252;0,1735;0,176
0,463647;-0,0632;0,0161;0,1136;0,131
0,468669;-0,1246;-0,0026;0,0880;0,153
0,474768;-0,1574;0,0072;0,0773;0,175
0,478814;-0,1807;0,0025;0,0529;0,188
0,485364;-0,1900;0,0025;0,0434;0,195
0,489043;-0,1950;-0,0071;0,0009;0,195
0,495438;-0,2006;-0,0262;-0,0459;0,207
0,498977;-0,2162;-0,0166;-0,0828;0,232
0,504520;-0,2276;-0,0024;-0,0909;0,245
0,508947;-0,2395;0,0164;-0,1084;0,263
0,513849;-0,2282;0,0112;-0,0972;0,248
0,518635;-0,1892;0,0062;-0,0957;0,212
0,523804;-0,1462;-0,0036;-0,0944;0,174
0,528775;-0,0897;-0,0180;-0,1076;0,141
0,534116;-0,0434;-0,0179;-0,1161;0,125
0,541181;0,0214;-0,0082;-0,1107;0,113
0,544804;0,0526;-0,0033;-0,1102;0,122
0,551395;0,0601;-0,0079;-0,1195;0,134
0,555050;0,0678;-0,0124;-0,1099;0,130
0,559473;0,0664;-0,0215;-0,0909;0,115
0,564386;0,0368;-0,0305;-0,0816;0,095
0,569395;0,0219;-0,0300;-0,0533;0,065
0,574185;0,0073;-0,0201;-0,0534;0,058
0,579332;-0,0071;-0,0151;-0,0676;0,070
0,584124;-0,0405;-0,0149;-0,0767;0,088
0,589413;-0,0689;-0,0243;-0,0808;0,109
0,595113;-0,0925;-0,0337;-0,1083;0,146
0,599914;-0,1209;-0,0193;-0,1497;0,193
0,607569;-0,1351;-0,0004;-0,1574;0,207
0,609744;-0,1402;0,0090;-0,1509;0,206
0,615354;-0,1313;0,0229;-0,1493;0,200
0,619644;-0,1230;0,0273;-0,1382;0,187
0,624563;-0,1009;0,0317;-0,1321;0,169
0,631509;-0,0462;0,0455;-0,1071;0,125
0,634610;-0,0064;0,0496;-0,1105;0,121
0,641814;0,0424;0,0489;-0,1232;0,139
0,644861;0,0813;0,0386;-0,1403;0,167
