time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,001001;-0,2566;0,0223;0,2870;0,386
0,001710;-0,2924;0,0745;0,2036;0,364
0,006795;-0,3147;0,0976;0,1076;0,347
0,012241;-0,3189;0,1203;0,0133;0,341
0,018229;-0,2957;0,1569;-0,1082;0,352
0,020716;-0,2545;0,1648;-0,2523;0,394
0,028157;-0,1953;0,1299;-0,3862;0,452
0,031020;-0,1561;0,1049;-0,4438;0,482
0,036204;-0,1319;0,0613;-0,4639;0,486
0,041008;-0,0988;0,0514;-0,3946;0,410
0,046403;-0,0756;0,0750;-0,2934;0,312
0,052590;-0,0195;0,1270;-0,1844;0,225
0,056226;0,0503;0,1692;-0,1291;0,219
0,063091;0,1054;0,1399;-0,0889;0,196
0,066421;0,1556;0,0919;-0,0872;0,201
0,073896;0,1582;0,0205;-0,0665;0,173
0,076339;0,1424;-0,0455;-0,0413;0,155
0,084646;0,0941;-0,0920;0,0311;0,135
0,086649;0,0373;-0,0858;0,1222;0,154
0,091647;-0,0709;-0,0466;0,1891;0,207
0,096658;-0,1353;0,0160;0,2371;0,273
0,101857;-0,1707;0,0685;0,2522;0,312
0,108040;-0,1491;0,0966;0,2109;0,276
0,111805;-0,0948;0,0912;0,1373;0,190
0,118045;-0,0320;0,0667;0,0745;0,105
0,121692;0,0346;0,0375;-0,0015;0,051
0,128762;0,0623;0,0323;-0,0813;0,107
0,131990;0,0944;0,0366;-0,1271;0,162
0,136797;0,1261;0,0504;-0,1726;0,220
0,142078;0,1433;0,0451;-0,2036;0,253
0,146948;0,1368;0,0494;-0,2301;0,272
0,152539;0,1354;0,0442;-0,2233;0,265
0,156784;0,1201;0,0486;-0,2170;0,253
0,163163;0,1241;0,0341;-0,1921;0,231
0,167442;0,1142;0,0150;-0,1773;0,211
0,173362;0,1048;0,0104;-0,1583;0,190
0,177595;0,0910;0,0059;-0,1540;0,179
0,184680;0,0775;-0,0081;-0,1592;0,177
0,187247;0,0501;-0,0172;-0,1645;0,173
0,192187;0,0233;-0,0119;-0,1556;0,158
0,197582;-0,0031;-0,0352;-0,1469;0,151
0,202253;-0,0149;-0,0487;-0,1195;0,130
0,207352;-0,0454;-0,0764;-0,0638;0,109
0,212109;-0,0710;-0,0848;-0,0132;0,111
