time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,003064;0,0014;0,0556;0,3176;0,322
0,003750;0,0505;-0,0137;0,2968;0,301
0,004181;0,0756;0,0072;0,2718;0,282
0,004615;0,1009;0,0318;0,1952;0,222
0,004994;0,1217;0,0030;0,1912;0,227
0,010386;0,0667;0,0065;0,3303;0,337
0,024196;-0,0355;0,0420;0,4452;0,449
0,024957;-0,1183;0,0853;0,4555;0,478
0,025419;-0,0964;0,0935;0,3572;0,382
0,034063;-0,0512;0,1051;0,1987;0,231
0,035064;-0,0350;0,1107;0,0517;0,127
0,040402;-0,0523;0,0725;-0,0080;0,090
0,045478;-0,1027;0,0860;-0,0336;0,138
0,051936;-0,1529;0,1368;-0,0633;0,215
0,055558;-0,1460;0,1678;-0,1496;0,268
0,060929;-0,1015;0,1843;-0,2400;0,319
0,065870;-0,0385;0,1914;-0,2869;0,347
0,071913;-0,0188;0,2035;-0,3242;0,383
0,075758;-0,0135;0,1828;-0,2998;0,351
0,083182;-0,0605;0,1963;-0,2428;0,318
0,086080;-0,4443;0,4763;-0,2008;0,682
0,090694;-0,4780;0,3508;-0,0503;0,595
0,095629;-0,1889;0,1177;0,0607;0,231
0,101291;-0,0409;0,0104;0,0849;0,095
0,106002;0,0338;0,0517;0,0516;0,081
0,111175;0,0313;0,1214;0,0136;0,126
0,116319;0,0095;0,1102;-0,0148;0,112
0,121242;0,0114;0,0564;-0,0383;0,069
0,127779;0,0227;-0,0111;-0,0475;0,054
0,131130;0,0007;-0,0306;-0,0707;0,077
0,138936;-0,0211;-0,0121;-0,0937;0,097
0,140942;-0,0282;-0,0225;-0,1353;0,140
0,146214;-0,0397;-0,0095;-0,1573;0,162
0,151171;-0,0509;-0,0065;-0,1931;0,200
0,156723;0,0518;0,1857;-0,1095;0,222
0,163144;-0,0368;0,0574;-0,1639;0,178
0,166524;-0,1914;-0,0944;-0,3123;0,378
0,172304;-0,2733;0,0156;-0,3642;0,456
0,176330;-0,2737;0,0579;-0,4392;0,521
0,183311;-0,3451;0,2233;-0,5752;0,707
0,186659;-0,4770;0,3782;-0,6344;0,879
0,191636;-0,2036;-0,0799;-0,3847;0,443
0,196495;0,0247;-0,2150;-0,3325;0,397
0,201305;0,0988;-0,1293;-0,2720;0,317
0,206485;-0,1226;0,3035;-0,3694;0,494
0,211863;-0,1240;0,2448;-0,1011;0,292
0,216712;-0,2210;-0,0499;0,0361;0,229
0,221728;-0,3276;-0,0851;0,1101;0,356
0,228068;-0,5720;0,2082;0,0120;0,609
0,231662;-0,3736;0,0391;0,1280;0,397
0,238952;-0,2731;0,0096;0,1382;0,306
0,242093;-0,4167;0,2133;0,0293;0,469
0,246724;-0,0469;-0,1829;0,3058;0,359
0,251964;0,0391;-0,2151;0,3237;0,391
0,257070;-0,1088;0,0990;0,2041;0,252
0,263443;0,1051;-0,1078;0,2758;0,314
0,267293;-0,0535;-0,0146;0,1432;0,154
0,272448;-0,0779;0,1813;0,1785;0,266
0,277084;0,0450;-0,1576;0,2618;0,309
0,283837;-0,1132;-0,0341;0,0601;0,133
0,287470;-0,2219;0,0210;-0,0396;0,226
0,294526;-0,2482;-0,0482;-0,0765;0,264
0,297051;-0,3684;0,2344;-0,1557;0,464
0,302190;-0,1923;0,0493;-0,0869;0,217
0,312692;0,0075;-0,1532;-0,1278;0,200
0,313336;0,0835;0,0068;-0,1017;0,132
0,317330;-0,0725;0,1321;-0,1327;0,201
0,322733;-0,0930;-0,0809;-0,1680;0,208
0,328409;-0,0599;-0,0787;-0,2360;0,256
0,332899;-0,0072;0,0087;-0,2605;0,261
0,342944;0,0079;0,0621;-0,2895;0,296
0,343945;-0,0429;0,0962;-0,2992;0,317
0,347765;-0,1166;0,0877;-0,2663;0,304
0,355619;-0,1422;0,1319;-0,2245;0,297
0,358598;-0,1723;0,1764;-0,1834;0,307
0,367647;-0,2120;0,1975;-0,1858;0,344
0,368580;-0,2183;0,2240;-0,1554;0,349
0,373583;-0,1919;0,2746;-0,0688;0,342
0,377867;-0,1473;0,2116;-0,0403;0,261
0,383286;-0,1322;0,1926;-0,0790;0,247
0,387727;-0,0985;0,1743;-0,1415;0,245
0,395336;-0,0605;0,1427;-0,1564;0,220
0,398806;-0,0227;0,0930;-0,1764;0,201
0,403141;0,0247;0,0679;-0,1394;0,157
0,408628;0,0294;0,0718;-0,0696;0,104
0,413834;-0,0084;0,0568;0,0233;0,062
0,418541;-0,0362;0,0133;0,1202;0,126
0,423838;-0,0352;-0,0206;0,1311;0,137
0,428707;-0,0248;-0,0261;0,1040;0,110
0,434127;0,0045;0,0251;0,1296;0,132
0,440557;0,0763;0,0991;0,1459;0,192
0,443937;0,1093;0,0958;0,1813;0,232
0,450876;0,1468;0,0775;0,2882;0,333
0,453869;0,1456;0,0773;0,3710;0,406
0,458407;0,0916;0,1046;0,3635;0,389
0,464257;0,0329;0,1635;0,2902;0,335
0,468930;-0,0021;0,1639;0,1708;0,237
